Indexador;idOcorrencia;Ocorrencia
17;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1011;I-d) fragmentação de depósitos ou outro instrumento de transferência de recurso em espécie, inclusive boleto de pagamento, de forma a dissimular o valor total da movimentação. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1020;I-m) dois ou mais depósitos em terminais de autoatendimento em espécie, no período de cinco dias úteis, com indícios de tentativa de burla para evitar a identificação do depositante. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1073;IV-ac) movimentação de valores incompatíveis com o faturamento mensal das pessoas jurídicas. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1056;IV-l) operações que, por sua habitualidade, valor e forma, configurem artifício para burla da identificação da origem, do destino, dos responsáveis ou dos destinatários finais. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
19;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
19;1011;I-d) fragmentação de depósitos ou outro instrumento de transferência de recurso em espécie, inclusive boleto de pagamento, de forma a dissimular o valor total da movimentação. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
19;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
19;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1012;I-e) fragmentação de saques em espécie, a fim de burlar limites regulatórios de reportes. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1040;III-j) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
21;1163;Solicitação de provisionamento de saques em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais) de que trata o art. 36. Banco Central do Brasil - Circular nº 3.978/2020, art. 49-III
22;1159;Saque em espécie de valor igual ou superior a R$50.000,00 (cinquenta mil reais). Banco Central do Brasil - Circular nº 3.978/2020, art. 49-I
23;1040;III-j) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
23;1044;III-n) sócios de empresas sem aparente capacidade financeira para o porte da atividade empresarial declarada. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
23;1074;IV-ad) recebimento de créditos com o imediato débito dos valores. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
23;1067;IV-w) recebimentos de valores relevantes no mesmo terminal de pagamento (Point of sale - POS), que apresentem indícios de atipicidade ou de incompatibilidade com o perfil do estabelecimento comercial credenciado. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
24;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
25;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
25;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
26;1207;SUSEP-612-Art.36-VIII) transações cujas características peculiares, principalmente no que se refere às partes envolvidas, valores, forma de realização, instrumentos utilizados, ou pela falta de fundamento econômico ou legal, mesmo que tragam vantagem à sociedade, ao ressegurador ou ao corretor, possam caracterizar indício de lavagem
de dinheiro, de financiamento do terrorismo, ou de qualquer outro ilícito. Susep-Circular nº 612, de 18/08/2020.
27;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
27;1073;IV-ac) movimentação de valores incompatíveis com o faturamento mensal das pessoas jurídicas. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
28;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
28;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
28;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
29;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
30;1207;SUSEP-612-Art.36-VIII) transações cujas características peculiares, principalmente no que se refere às partes envolvidas, valores, forma de realização, instrumentos utilizados, ou pela falta de fundamento econômico ou legal, mesmo que tragam vantagem à sociedade, ao ressegurador ou ao corretor, possam caracterizar indício de lavagem
de dinheiro, de financiamento do terrorismo, ou de qualquer outro ilícito. Susep-Circular nº 612, de 18/08/2020.
31;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
31;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
32;1012;I-e) fragmentação de saques em espécie, a fim de burlar limites regulatórios de reportes. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
32;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
33;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
33;1074;IV-ad) recebimento de créditos com o imediato débito dos valores. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
33;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
33;1049;IV-e) movimentação de quantia significativa por meio de conta até então pouco movimentada ou de conta que acolha depósito inusitado. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
34;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
35;1207;SUSEP-612-Art.36-VIII) transações cujas características peculiares, principalmente no que se refere às partes envolvidas, valores, forma de realização, instrumentos utilizados, ou pela falta de fundamento econômico ou legal, mesmo que tragam vantagem à sociedade, ao ressegurador ou ao corretor, possam caracterizar indício de lavagem
de dinheiro, de financiamento do terrorismo, ou de qualquer outro ilícito. Susep-Circular nº 612, de 18/08/2020.
36;1059;IV-o) pagamentos habituais a fornecedores ou beneficiários que não apresentem ligação com a atividade ou ramo de negócio da pessoa jurídica. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
36;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
37;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
37;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
37;1158;XVII-c) operação atípica em municípios localizados em outras regiões de risco. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
38;1012;I-e) fragmentação de saques em espécie, a fim de burlar limites regulatórios de reportes. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
38;1033;III-c) prestação de informação de difícil ou onerosa verificação. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
38;1073;IV-ac) movimentação de valores incompatíveis com o faturamento mensal das pessoas jurídicas. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
38;1056;IV-l) operações que, por sua habitualidade, valor e forma, configurem artifício para burla da identificação da origem, do destino, dos responsáveis ou dos destinatários finais. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º

f1d2b0e8b5a2fc90489338628e902a7f
