Indexador;idOcorrencia;Ocorrencia
6;1009;I-b) movimentações em espécie realizadas por clientes cujas atividades possuam como característica a utilização de outros instrumentos de transferência de recursos, tais como cheques, cartões de débito ou crédito. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1012;I-e) fragmentação de saques em espécie, a fim de burlar limites regulatórios de reportes. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1089;VII-a) movimentações atípicas de recursos por agentes públicos, conforme definidos no art. 2º da Lei nº 8.429, de 2 de junho de 1992. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
6;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
7;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
7;1089;VII-a) movimentações atípicas de recursos por agentes públicos, conforme definidos no art. 2º da Lei nº 8.429, de 2 de junho de 1992. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1012;I-e) fragmentação de saques em espécie, a fim de burlar limites regulatórios de reportes. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
8;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
9;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
10;1040;III-j) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
10;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
10;1047;IV-c) movimentação de recursos de alto valor, de forma contumaz, em benefício de terceiros. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
10;1092;VII-d) movimentações atípicas de recursos por pessoa natural ou jurídica relacionadas a licitações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
11;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
12;1073;IV-ac) movimentação de valores incompatíveis com o faturamento mensal das pessoas jurídicas. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
12;1063;IV-s) movimentação habitual de recursos financeiros de ou para qualquer tipo de PEP, conforme elencados no art. 27 da Circular nº 3.978, de 2020, bem como seu representante, familiar ou estreito colaborador, não justificada por eventos econômicos. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
13;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1020;I-m) dois ou mais depósitos em terminais de autoatendimento em espécie, no período de cinco dias úteis, com indícios de tentativa de burla para evitar a identificação do depositante. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1021;I-n) depósitos em espécie relevantes em contas de servidores públicos e de qualquer tipo de Pessoas Expostas Politicamente (PEP), conforme elencados no art. 27 da Circular nº 3.978, de 2020, bem como seu representante, familiar ou estreito colaborador. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
14;1063;IV-s) movimentação habitual de recursos financeiros de ou para qualquer tipo de PEP, conforme elencados no art. 27 da Circular nº 3.978, de 2020, bem como seu representante, familiar ou estreito colaborador, não justificada por eventos econômicos. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
15;1032;III-b) oferecimento de informação falsa. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
15;1073;IV-ac) movimentação de valores incompatíveis com o faturamento mensal das pessoas jurídicas. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
15;1052;IV-h) dispensa da faculdade de utilização de prerrogativas como recebimento de crédito, de juros remuneratórios para grandes saldos ou, ainda, de outros serviços bancários especiais que, em circunstâncias normais, sejam valiosas para qualquer cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
15;1063;IV-s) movimentação habitual de recursos financeiros de ou para qualquer tipo de PEP, conforme elencados no art. 27 da Circular nº 3.978, de 2020, bem como seu representante, familiar ou estreito colaborador, não justificada por eventos econômicos. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
16;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1031;III-a) resistência ao fornecimento de informações necessárias para o início de relacionamento ou para a atualização cadastral. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1033;III-c) prestação de informação de difícil ou onerosa verificação. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1040;III-j) incompatibilidade da atividade econômica ou faturamento informados com o padrão apresentado por clientes com o mesmo perfil. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1046;IV-b) transferências de valores arredondados na unidade de milhar ou que estejam um pouco abaixo do limite para notificação de operações. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
17;1056;IV-l) operações que, por sua habitualidade, valor e forma, configurem artifício para burla da identificação da origem, do destino, dos responsáveis ou dos destinatários finais. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
18;1089;VII-a) movimentações atípicas de recursos por agentes públicos, conforme definidos no art. 2º da Lei nº 8.429, de 2 de junho de 1992. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
19;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
19;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1074;IV-ad) recebimento de créditos com o imediato débito dos valores. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1058;IV-n) recebimento de depósitos provenientes de diversas origens, sem fundamentação econômico-financeira, especialmente provenientes de regiões distantes do local de atuação da pessoa jurídica ou distantes do domicílio da pessoa natural. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1156;XVII-a) operação atípica em municípios localizados em regiões de fronteira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
20;1157;XVII-b) operação atípica em municípios localizados em regiões de extração mineral. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
21;1008;I-a) depósitos, aportes, saques, pedidos de provisionamento para saque ou qualquer outro instrumento de transferência de recursos em espécie, que apresentem atipicidade em relação à atividade econômica do cliente ou incompatibilidade com a sua capacidade financeira. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
21;1012;I-e) fragmentação de saques em espécie, a fim de burlar limites regulatórios de reportes. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º
21;1045;IV-a) movimentação de recursos incompatível com o patrimônio, a atividade econômica ou a ocupação profissional e a capacidade financeira do cliente. Banco Central do Brasil - Carta-Circular nº 4.001/2020, art. 1º

0ce3ac0f1775cb9f85f08893f87b15fa
